rxn,lb,ub
NTD6,-0.0173364312663153,99.23191684441548
NTD7,-11.860205842694668,100.0
NTD8,-0.0178277471321592,99.8132316075789
NTD9,-100.0,100.0
NTPP1,-100.0,100.0
NTPP2,-100.0,100.0
NTPP3,-100.0,100.0
NTPP4,-100.0,100.0
NTPP5,-100.0,100.0
NTPP6,-100.0,100.0
NTPP7,-100.0,99.9826635687338
NTPP8,-100.0,100.0
NTPTP1,-99.065567598359,99.06486072185992
NTPTP2,-100.0,100.0
OBTFL,-96.0158901917383,99.27763672345036
OCBT,-99.80277177385406,100.0
OMCDC,0.2871192556182649,0.3004045579732093
OMPDC,0.2113814893572367,0.2211623276118359
ORNDC,-99.97052104804936,100.0
ORNTA,-100.0,100.0
ORPT,-0.2211623276118217,-0.2113814893572225
P5CD,-100.0,99.85260524024682
P5CR,-99.85912372972008,100.0
PANTS,3.957952355471139e-05,4.141090869280717e-05
PAPAEC,-0.0117915807803257,99.98872989837788
PAPPT3,0.0185151669510514,0.019371882710454
PAPSR,0.1563451555954062,0.1635794062548029
PASYNEC,-99.90493037995918,100.0
PDH,-100.0,100.0
PDXPP,0.0,90.91593954451848
PEPTEC,0.0112701016223359,0.0117915807803197
PFK,0.0,100.0
PFL,-100.0,99.94321856479657
PGAMT,-0.0505353462014372,-0.0483004355241751
PGCD,-100.0,100.0
PGI,-91.32948970021556,11.722335869513486
PGK,-100.0,92.16619906896165
PGL,0.0,100.0
PGM,-100.0,0.0
PGMT,-93.04892178088484,5.647908095130802
PGPPEC,-99.23731075492584,100.0
PGSAEC,-99.64990518262508,100.0
PHETA1,-0.1235308462693716,-0.1180677312822595
PLIPA1,-100.0,99.97466213891862
PLIPA2,-100.0,99.91847666026032
PMDPHT,6.708393822825448e-06,7.018798083524042e-06
PNTK,3.957952355469897e-05,4.141090869280717e-05
POX,0.0,43.72603285517195
ppa,-100.0,100.0
PPAKr,-100.0,100.0
PPC,0.0,100.0
PPCDC,3.957952355471139e-05,4.141090869280717e-05
PPCK,0.0,100.0
PPCSCT,-100.0,100.0
PPM,-92.27363045306323,92.41062021049396
PPM2,-100.0,99.7660922369496
PPNCL2,3.9579523554698966e-05,4.141090869280717e-05
PPND,0.0878799590794052,0.0919414110713378
PPNDH,0.1180677312822595,0.1235308462693716
PPS,-100.0,100.0
PPTGS,0.0185151669510514,0.019371882710454
PRAGSr,0.3301260975756719,0.345401370608414
PRAIi,0.0362253266432617,0.0379015096510298
PRAIS,0.3301260975756861,0.3454013706085135
PRAMPC,0.060375544405403,0.0631691827517413
PRASCS,0.3301260975756861,0.3454013706084566
PRATPP,0.060375544405403,0.0631691827517413
PRFGS,0.3301260975756577,0.3454013706084993
PRMICIi,0.060375544405403,0.0631691827517413
PROD2,-100.0,99.85912372972008
PRPPS,-91.98068782673585,91.9153911168482
PSCVT,0.2757149861181259,0.2876281695467882
PSDEC,-99.92030154776202,99.99817511249827
PSERT,-100.0,100.0
PSPL,-100.0,100.0
PSSAEC,-99.91847666026032,99.99687876208505
PTA2,-100.0,100.0
PTAr,-99.0270917434598,100.0
PTPATi,3.957952355467496e-05,4.141090869280717e-05
PTRCTA,-100.0,99.97052104804936
PUNP1,-100.0,100.0
PUNP2,-90.8480680539168,98.93858439618596
PUNP3,-100.0,100.0
PUNP4,-99.88386997307563,99.98296068902177
PUNP5,-99.01848891592604,100.0
PUNP6,-0.0173244454873611,98.0979601877794
PUNP7,-100.0,100.0
PYAM5PO,0.0,46.98451196555207
PYDAMK,0.0,100.0
PYDXK,0.0,100.0
PYDXNK,0.0,100.0
PYDXPP,0.0,100.0
PYK,-100.0,100.0
PYNP2r,-100.0,100.0
QULNS,0.0018313915136317,0.0019161318768019
RBFK,6.708393822825448e-06,7.009831183777808e-06
RBFSa,1.3416787645650896e-05,1.4037596167270137e-05
RBFSb,6.708393822808468e-06,7.01879808374609e-06
RNDR1,-100.0,99.09544718812651
RNDR2,-99.01655136482631,100.0
RNDR3,-100.0,100.0
RNDR4,-100.0,100.0
RNTR1,0.0,100.0
RNTR2,-100.0,100.0
RNTR3,-100.0,100.0
RNTR4,-93.64074063010062,96.58942625072586
RPE,-100.0,100.0
